id,cbo,descricao,disponivel,user_id,created_at,updated_at
,122110,Diretor de produção e operações em empresa aqüícola,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122115,Diretor de produção e operações em empresa florestal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122120,Diretor de produção e operações em empresa pesqueira,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122205,"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades",1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122305,Diretor de operações de obras pública e civil,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122405,Diretor de operações comerciais (comércio atacadista e varejista),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122505,Diretor de  produção e operações de alimentação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122510,Diretor de  produção e operações de hotel,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122515,Diretor de  produção e operações de turismo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122520,Turismólogo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122605,Diretor de operações de correios,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122610,Diretor de operações de serviços de armazenamento,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122615,Diretor de operações de serviços de telecomunicações,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122620,Diretor de operações de serviços de transporte,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122705,Diretor comercial em operações de intermediação financeira,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122710,Diretor de produtos bancários,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122715,Diretor de crédito rural,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122720,Diretor de câmbio e comércio exterior,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122725,Diretor de compliance,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122730,Diretor de crédito (exceto crédito imobiliário),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122735,Diretor de crédito imobiliário,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122740,Diretor de leasing,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122745,Diretor de mercado de capitais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122750,Diretor de recuperação de créditos em operações de intermediação financeira,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,122755,Diretor de riscos de mercado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123105,Diretor administrativo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123110,Diretor administrativo e financeiro,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123115,Diretor financeiro,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123205,Diretor de recursos humanos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123210,Diretor de relações de trabalho,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123305,Diretor comercial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123310,Diretor de marketing,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123405,Diretor de suprimentos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123410,Diretor de suprimentos no serviço público,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123605,Diretor de tecnologia da informação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123705,Diretor de pesquisa e desenvolvimento (p&d),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,123805,Diretor de manutenção,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131105,Diretor de serviços culturais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131110,Diretor de serviços sociais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131115,Gerente de serviços culturais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131120,Gerente de serviços sociais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131205,Diretor de serviços de saúde,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131210,Gerente de serviços de saúde,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131215,Tecnólogo em gestão hospitalar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131220,Gerontólogo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131225,Sanitarista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131305,Diretor de instituição educacional da área privada,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131310,Diretor de instituição educacional pública,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131315,Gerente de instituição educacional da área privada,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,131320,Gerente de serviços educacionais da área pública,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141105,Gerente de produção e operações  aqüícolas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141110,Gerente de produção e operações  florestais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141115,Gerente de produção e operações agropecuárias,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141120,Gerente de produção e operações pesqueiras,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141205,Gerente de produção e operações,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141305,Gerente de produção e operações da construção civil e obras públicas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141405,Comerciante atacadista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141410,Comerciante varejista,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141415,Gerente de loja e supermercado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141420,Gerente de operações de serviços de assistência técnica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141505,Gerente de hotel,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
